timestamp,account_id,channel,device_id,ip_address,transaction_type,amount_inr,is_fraud_flag
2026-02-22 01:49:34,ACT_8872,Web Banking,IMEI_62167,192.168.1.252,Standard Transfer,1054,0
2026-02-22 01:52:34,ACT_7544,Web Banking,IMEI_98296,192.168.1.221,Standard Transfer,4638,0
2026-02-22 01:53:34,ACT_1902,RTGS,IMEI_22391,192.168.1.6,Standard Transfer,1004,0
2026-02-22 01:53:34,ACT_8621,Mobile App,IMEI_85819,192.168.1.108,Standard Transfer,4507,0
2026-02-22 02:03:34,ACT_9101,UPI,IMEI_74434,192.168.1.96,Standard Transfer,4912,0
2026-02-22 02:39:34,ACT_9271,ATM,IMEI_32404,192.168.1.217,Standard Transfer,4492,0
2026-02-22 02:47:34,ACT_6221,Mobile App,IMEI_62471,192.168.1.255,Standard Transfer,645,0
2026-02-22 02:51:34,ACT_5116,UPI,IMEI_90365,192.168.1.234,Standard Transfer,4838,0
2026-02-22 02:55:34,ACT_5391,ATM,IMEI_45268,192.168.1.174,Standard Transfer,3549,0
2026-02-22 02:57:34,ACT_2439,RTGS,IMEI_97004,192.168.1.97,Standard Transfer,1967,0
2026-02-22 02:58:34,ACT_5470,Mobile App,IMEI_14384,192.168.1.202,Standard Transfer,2640,0
2026-02-22 03:10:34,ACT_2540,Web Banking,IMEI_10348,192.168.1.68,Standard Transfer,3600,0
2026-02-22 03:10:34,ACT_2219,RTGS,IMEI_48865,192.168.1.86,Standard Transfer,4560,0
2026-02-22 03:20:34,ACT_1420,Mobile App,IMEI_18352,192.168.1.255,Standard Transfer,1395,0
2026-02-22 03:31:34,ACT_5073,Web Banking,IMEI_58893,192.168.1.233,Standard Transfer,3355,0
2026-02-22 03:36:34,ACT_3483,UPI,IMEI_16238,192.168.1.102,Standard Transfer,4843,0
2026-02-22 03:36:34,ACT_9840,ATM,IMEI_65998,192.168.1.147,Standard Transfer,2487,0
2026-02-22 03:38:34,ACT_8523,Web Banking,IMEI_87323,192.168.1.109,Standard Transfer,4314,0
2026-02-22 03:46:34,ACT_8047,Mobile App,IMEI_32196,192.168.1.65,Standard Transfer,3690,0
2026-02-22 03:48:34,ACT_5695,Mobile App,IMEI_43160,192.168.1.108,Standard Transfer,2789,0
2026-02-22 03:50:34,ACT_2604,Web Banking,IMEI_79340,192.168.1.18,Standard Transfer,415,0
2026-02-22 03:56:34,ACT_2102,Mobile App,IMEI_69914,192.168.1.28,Standard Transfer,1583,0
2026-02-22 03:57:34,ACT_8468,Web Banking,IMEI_80033,192.168.1.68,Standard Transfer,4174,0
2026-02-22 04:01:34,ACT_7435,Mobile App,IMEI_44998,192.168.1.17,Standard Transfer,1265,0
2026-02-22 04:06:34,ACT_2271,Mobile App,IMEI_58702,192.168.1.92,Standard Transfer,4139,0
2026-02-22 04:09:34,ACT_2851,RTGS,IMEI_24876,192.168.1.85,Standard Transfer,3350,0
2026-02-22 04:12:34,ACT_9045,RTGS,IMEI_76086,192.168.1.52,Standard Transfer,1856,0
2026-02-22 04:14:34,ACT_8872,RTGS,IMEI_73616,192.168.1.220,Standard Transfer,2054,0
2026-02-22 04:17:34,ACT_1188,UPI,IMEI_25770,192.168.1.115,Standard Transfer,738,0
2026-02-22 04:24:34,ACT_6885,RTGS,IMEI_23387,192.168.1.234,Standard Transfer,1624,0
2026-02-22 04:26:34,ACT_1467,Web Banking,IMEI_26143,192.168.1.220,Standard Transfer,169,0
2026-02-22 04:31:34,ACT_5114,RTGS,IMEI_72405,192.168.1.7,Standard Transfer,734,0
2026-02-22 04:31:34,ACT_7330,Mobile App,IMEI_65924,192.168.1.44,Standard Transfer,1308,0
2026-02-22 04:32:34,ACT_9569,Mobile App,IMEI_89431,192.168.1.249,Standard Transfer,3196,0
2026-02-22 04:33:34,ACT_2355,ATM,IMEI_34509,192.168.1.156,Standard Transfer,2093,0
2026-02-22 04:41:34,ACT_1121,ATM,IMEI_18747,192.168.1.107,Standard Transfer,1407,0
2026-02-22 04:44:34,ACT_1007,Web Banking,IMEI_31400,192.168.1.66,Standard Transfer,611,0
2026-02-22 04:52:34,ACT_7032,ATM,IMEI_58518,192.168.1.167,Standard Transfer,915,0
2026-02-22 04:53:34,ACT_8047,Mobile App,IMEI_85458,192.168.1.115,Standard Transfer,604,0
2026-02-22 04:57:34,ACT_1713,Web Banking,IMEI_34881,192.168.1.169,Standard Transfer,2064,0
2026-02-22 04:59:34,ACT_5129,RTGS,IMEI_62785,192.168.1.144,Standard Transfer,993,0
2026-02-22 05:01:34,ACT_7208,ATM,IMEI_57684,192.168.1.107,Standard Transfer,558,0
2026-02-22 05:04:34,ACT_6221,RTGS,IMEI_92949,192.168.1.179,Standard Transfer,363,0
2026-02-22 05:05:34,ACT_4297,Web Banking,IMEI_85422,192.168.1.114,Standard Transfer,3046,0
2026-02-22 05:10:34,ACT_2915,Web Banking,IMEI_90324,192.168.1.104,Standard Transfer,596,0
2026-02-22 05:12:34,ACT_1714,Web Banking,IMEI_99477,192.168.1.64,Standard Transfer,4699,0
2026-02-22 05:19:34,ACT_9055,UPI,IMEI_55812,192.168.1.107,Standard Transfer,3087,0
2026-02-22 05:19:34,ACT_4832,Mobile App,IMEI_28733,192.168.1.64,Standard Transfer,793,0
2026-02-22 05:20:34,ACT_2547,Mobile App,IMEI_38249,192.168.1.104,Standard Transfer,1886,0
2026-02-22 05:26:34,ACT_4197,Web Banking,IMEI_42486,192.168.1.122,Standard Transfer,2238,0
2026-02-22 05:32:34,ACT_6811,RTGS,IMEI_14384,192.168.1.59,Standard Transfer,1436,0
2026-02-22 05:32:34,ACT_9190,ATM,IMEI_65924,192.168.1.23,Standard Transfer,4275,0
2026-02-22 05:34:34,ACT_3568,RTGS,IMEI_38069,192.168.1.42,Standard Transfer,4153,0
2026-02-22 05:51:34,ACT_5202,ATM,IMEI_17801,192.168.1.59,Standard Transfer,3551,0
2026-02-22 05:53:34,ACT_5317,RTGS,IMEI_16238,192.168.1.174,Standard Transfer,3509,0
2026-02-22 05:55:34,ACT_4824,UPI,IMEI_38109,192.168.1.221,Standard Transfer,3643,0
2026-02-22 05:57:34,ACT_3108,Web Banking,IMEI_15564,192.168.1.56,Standard Transfer,3126,0
2026-02-22 06:03:34,ACT_5221,UPI,IMEI_88163,192.168.1.174,Standard Transfer,2183,0
2026-02-22 06:05:34,ACT_8211,ATM,IMEI_83029,192.168.1.61,Standard Transfer,3224,0
2026-02-22 06:05:34,ACT_7805,ATM,IMEI_95995,192.168.1.59,Standard Transfer,4075,0
2026-02-22 06:06:34,ACT_9045,RTGS,IMEI_10328,192.168.1.86,Standard Transfer,1954,0
2026-02-22 06:10:34,ACT_7783,Mobile App,IMEI_34789,192.168.1.89,Standard Transfer,2102,0
2026-02-22 06:15:34,ACT_5522,ATM,IMEI_28496,192.168.1.14,Standard Transfer,3300,0
2026-02-22 06:16:34,ACT_1664,RTGS,IMEI_39912,192.168.1.115,Standard Transfer,1710,0
2026-02-22 06:20:34,ACT_4694,Web Banking,IMEI_99213,192.168.1.99,Standard Transfer,3568,0
2026-02-22 06:34:34,ACT_3655,RTGS,IMEI_60352,192.168.1.202,Standard Transfer,3560,0
2026-02-22 06:42:34,ACT_4343,UPI,IMEI_20509,192.168.1.116,Standard Transfer,3730,0
2026-02-22 06:42:34,ACT_4667,Mobile App,IMEI_58702,192.168.1.5,Standard Transfer,364,0
2026-02-22 06:44:34,ACT_6267,RTGS,IMEI_32526,192.168.1.168,Standard Transfer,665,0
2026-02-22 06:47:34,ACT_4436,ATM,IMEI_63654,192.168.1.217,Standard Transfer,4669,0
2026-02-22 06:48:34,ACT_4182,ATM,IMEI_49657,192.168.1.108,Standard Transfer,4349,0
2026-02-22 06:50:34,ACT_5887,Web Banking,IMEI_97004,192.168.1.169,Standard Transfer,4328,0
2026-02-22 06:52:34,ACT_9999,ATM,IMEI_72405,192.168.1.44,Standard Transfer,1740,0
2026-02-22 07:08:34,ACT_8412,Mobile App,IMEI_24791,192.168.1.162,Standard Transfer,3317,0
2026-02-22 07:17:34,ACT_7915,RTGS,IMEI_17095,192.168.1.130,Standard Transfer,4812,0
2026-02-22 07:25:34,ACT_8412,ATM,IMEI_66004,192.168.1.167,Standard Transfer,2477,0
2026-02-22 07:29:34,ACT_6782,ATM,IMEI_29567,192.168.1.186,Standard Transfer,2867,0
2026-02-22 07:29:34,ACT_7066,RTGS,IMEI_36725,192.168.1.88,Standard Transfer,1012,0
2026-02-22 07:34:34,ACT_2364,Web Banking,IMEI_78363,192.168.1.30,Standard Transfer,2893,0
2026-02-22 07:36:34,ACT_4844,UPI,IMEI_88266,192.168.1.190,Standard Transfer,2424,0
2026-02-22 07:42:34,ACT_6217,Web Banking,IMEI_46398,192.168.1.167,Standard Transfer,1518,0
2026-02-22 07:47:34,ACT_1929,Mobile App,IMEI_95995,192.168.1.6,Standard Transfer,776,0
2026-02-22 08:02:34,ACT_3480,Web Banking,IMEI_53881,192.168.1.225,Standard Transfer,4238,0
2026-02-22 08:03:34,ACT_8973,ATM,IMEI_84949,192.168.1.111,Standard Transfer,959,0
2026-02-22 08:05:34,ACT_2452,Mobile App,IMEI_32526,192.168.1.69,Standard Transfer,3038,0
2026-02-22 08:07:34,ACT_6328,Web Banking,IMEI_57893,192.168.1.18,Standard Transfer,4931,0
2026-02-22 08:08:34,ACT_6217,Mobile App,IMEI_64194,192.168.1.135,Standard Transfer,4043,0
2026-02-22 08:13:34,ACT_7734,ATM,IMEI_87812,192.168.1.42,Standard Transfer,272,0
2026-02-22 08:20:34,ACT_6618,UPI,IMEI_60352,192.168.1.199,Standard Transfer,186,0
2026-02-22 08:31:34,ACT_1893,ATM,IMEI_72055,192.168.1.170,Standard Transfer,372,0
2026-02-22 08:47:34,ACT_6168,Mobile App,IMEI_39479,192.168.1.86,Standard Transfer,1991,0
2026-02-22 08:48:34,ACT_4825,Web Banking,IMEI_36609,192.168.1.64,Standard Transfer,692,0
2026-02-22 08:49:34,ACT_8178,UPI,IMEI_55812,192.168.1.88,Standard Transfer,4783,0
2026-02-22 08:53:34,ACT_1307,ATM,IMEI_32326,192.168.1.221,Standard Transfer,2758,0
2026-02-22 08:56:34,ACT_8515,RTGS,IMEI_73230,192.168.1.20,Standard Transfer,3983,0
2026-02-22 08:58:34,ACT_8057,UPI,IMEI_13811,192.168.1.198,Standard Transfer,2861,0
2026-02-22 09:10:34,ACT_8523,ATM,IMEI_10220,192.168.1.84,Standard Transfer,4179,0
2026-02-22 09:14:34,ACT_4998,ATM,IMEI_88980,192.168.1.144,Standard Transfer,3089,0
2026-02-22 09:27:34,ACT_3887,Mobile App,IMEI_32526,192.168.1.175,Standard Transfer,4860,0
2026-02-22 09:28:34,ACT_6904,Mobile App,IMEI_49598,192.168.1.92,Standard Transfer,4350,0
2026-02-22 09:29:34,ACT_1395,Web Banking,IMEI_21503,192.168.1.103,Standard Transfer,4713,0
2026-02-22 09:30:34,ACT_8364,Web Banking,IMEI_42486,192.168.1.47,Standard Transfer,1598,0
2026-02-22 09:44:34,ACT_9206,Mobile App,IMEI_78870,192.168.1.104,Standard Transfer,1686,0
2026-02-22 09:46:34,ACT_3663,ATM,IMEI_23515,192.168.1.202,Standard Transfer,3452,0
2026-02-22 09:47:34,ACT_2515,Web Banking,IMEI_55676,192.168.1.67,Standard Transfer,4288,0
2026-02-22 10:08:34,ACT_8928,UPI,IMEI_62785,192.168.1.72,Standard Transfer,4786,0
2026-02-22 10:14:34,ACT_1068,UPI,IMEI_38470,192.168.1.12,Standard Transfer,1330,0
2026-02-22 10:17:34,ACT_8266,Web Banking,IMEI_48836,192.168.1.87,Standard Transfer,1557,0
2026-02-22 10:25:34,ACT_2410,RTGS,IMEI_31387,192.168.1.22,Standard Transfer,2134,0
2026-02-22 10:27:34,ACT_1789,Web Banking,IMEI_24363,192.168.1.65,Standard Transfer,3030,0
2026-02-22 10:29:34,ACT_3336,ATM,IMEI_48996,192.168.1.115,Standard Transfer,3273,0
2026-02-22 10:46:34,ACT_5866,Web Banking,IMEI_84581,192.168.1.133,Standard Transfer,1413,0
2026-02-22 10:49:34,ACT_7611,UPI,IMEI_25552,192.168.1.168,Standard Transfer,4822,0
2026-02-22 10:51:34,ACT_4121,ATM,IMEI_34675,192.168.1.47,Standard Transfer,2766,0
2026-02-22 10:53:34,ACT_2897,RTGS,IMEI_11429,192.168.1.17,Standard Transfer,3663,0
2026-02-22 10:56:34,ACT_3922,ATM,IMEI_32554,192.168.1.115,Standard Transfer,1300,0
2026-02-22 10:57:34,ACT_4066,ATM,IMEI_23150,192.168.1.206,Standard Transfer,834,0
2026-02-22 11:00:34,ACT_9810,ATM,IMEI_30144,192.168.1.64,Standard Transfer,4147,0
2026-02-22 11:04:34,ACT_5899,UPI,IMEI_95305,192.168.1.74,Standard Transfer,4749,0
2026-02-22 11:08:34,ACT_3689,UPI,IMEI_86524,192.168.1.102,Standard Transfer,4293,0
2026-02-22 11:12:34,ACT_4352,ATM,IMEI_69810,192.168.1.93,Standard Transfer,1000,0
2026-02-22 11:17:34,ACT_2047,UPI,IMEI_74354,192.168.1.221,Standard Transfer,3440,0
2026-02-22 11:44:34,ACT_2047,UPI,IMEI_19065,192.168.1.181,Standard Transfer,3890,0
2026-02-22 11:46:34,ACT_3627,UPI,IMEI_75455,192.168.1.178,Standard Transfer,2495,0
2026-02-22 11:48:34,ACT_8638,UPI,IMEI_59279,192.168.1.170,Standard Transfer,2980,0
2026-02-22 11:56:34,ACT_3121,ATM,IMEI_79340,192.168.1.185,Standard Transfer,4480,0
2026-02-22 11:56:34,ACT_2446,ATM,IMEI_26971,192.168.1.158,Standard Transfer,4396,0
2026-02-22 12:00:34,ACT_7301,ATM,IMEI_82183,192.168.1.116,Standard Transfer,1885,0
2026-02-22 12:00:34,ACT_9503,Web Banking,IMEI_68943,192.168.1.50,Standard Transfer,2783,0
2026-02-22 12:04:34,ACT_9271,ATM,IMEI_58893,192.168.1.100,Standard Transfer,4661,0
2026-02-22 12:11:34,ACT_1046,Web Banking,IMEI_78870,192.168.1.50,Standard Transfer,2392,0
2026-02-22 12:25:34,ACT_8057,Mobile App,IMEI_60255,192.168.1.124,Standard Transfer,3126,0
2026-02-22 12:30:34,ACT_6221,ATM,IMEI_41852,192.168.1.62,Standard Transfer,1255,0
2026-02-22 12:42:34,ACT_4160,UPI,IMEI_84949,192.168.1.10,Standard Transfer,2331,0
2026-02-22 13:03:34,ACT_7933,UPI,IMEI_14384,192.168.1.135,Standard Transfer,3712,0
2026-02-22 13:13:34,ACT_2667,Web Banking,IMEI_32326,192.168.1.18,Standard Transfer,4021,0
2026-02-22 13:17:34,ACT_6603,Web Banking,IMEI_42035,192.168.1.206,Standard Transfer,313,0
2026-02-22 13:20:34,ACT_8738,UPI,IMEI_84002,192.168.1.130,Standard Transfer,1747,0
2026-02-22 13:20:34,ACT_1941,Mobile App,IMEI_26002,192.168.1.104,Standard Transfer,4875,0
2026-02-22 13:30:34,ACT_9071,RTGS,IMEI_17239,192.168.1.52,Standard Transfer,2945,0
2026-02-22 13:36:34,ACT_8353,UPI,IMEI_44998,192.168.1.43,Standard Transfer,4926,0
2026-02-22 13:48:34,ACT_9466,ATM,IMEI_82086,192.168.1.181,Standard Transfer,814,0
2026-02-22 13:56:34,ACT_2336,UPI,IMEI_88163,192.168.1.156,Standard Transfer,3733,0
2026-02-22 13:57:34,ACT_8738,UPI,IMEI_30509,192.168.1.199,Standard Transfer,2234,0
2026-02-22 13:58:34,ACT_9303,Mobile App,IMEI_14408,192.168.1.219,Standard Transfer,2751,0
2026-02-22 14:02:34,ACT_6232,UPI,IMEI_37857,192.168.1.156,Standard Transfer,2135,0
2026-02-22 14:05:34,ACT_9257,UPI,IMEI_65558,192.168.1.56,Standard Transfer,238,0
2026-02-22 14:11:34,ACT_9148,RTGS,IMEI_50221,192.168.1.179,Standard Transfer,938,0
2026-02-22 14:15:34,ACT_9468,UPI,IMEI_41013,192.168.1.84,Standard Transfer,2516,0
2026-02-22 14:18:34,ACT_4835,Web Banking,IMEI_87642,192.168.1.6,Standard Transfer,3865,0
2026-02-22 14:20:34,ACT_7286,UPI,IMEI_89093,192.168.1.199,Standard Transfer,4637,0
2026-02-22 14:43:34,ACT_9568,UPI,IMEI_33886,192.168.1.144,Standard Transfer,1024,0
2026-02-22 14:44:34,ACT_5275,RTGS,IMEI_33862,192.168.1.102,Standard Transfer,2893,0
2026-02-22 14:50:34,ACT_2840,RTGS,IMEI_39118,192.168.1.160,Standard Transfer,4692,0
2026-02-22 14:50:34,ACT_4775,RTGS,IMEI_44998,192.168.1.108,Standard Transfer,2589,0
2026-02-22 14:54:34,ACT_6482,Mobile App,IMEI_48469,192.168.1.17,Standard Transfer,2559,0
2026-02-22 15:00:34,ACT_5860,Mobile App,IMEI_55274,192.168.1.167,Standard Transfer,4636,0
2026-02-22 15:10:34,ACT_6393,UPI,IMEI_26547,192.168.1.214,Standard Transfer,2577,0
2026-02-22 15:11:34,ACT_8316,ATM,IMEI_79376,192.168.1.99,Standard Transfer,2867,0
2026-02-22 15:12:34,ACT_4193,ATM,IMEI_38470,192.168.1.160,Standard Transfer,4206,0
2026-02-22 15:18:34,ACT_8334,UPI,IMEI_71744,192.168.1.122,Standard Transfer,4107,0
2026-02-22 15:30:34,ACT_9381,ATM,IMEI_49352,192.168.1.69,Standard Transfer,4668,0
2026-02-22 15:30:34,ACT_3552,UPI,IMEI_88546,192.168.1.87,Standard Transfer,2708,0
2026-02-22 15:34:34,ACT_3280,Web Banking,IMEI_62959,192.168.1.246,Standard Transfer,2719,0
2026-02-22 15:35:34,ACT_1710,UPI,IMEI_56030,192.168.1.100,Standard Transfer,4526,0
2026-02-22 15:36:34,ACT_7456,Mobile App,IMEI_74434,192.168.1.89,Standard Transfer,498,0
2026-02-22 15:42:34,ACT_4532,Web Banking,IMEI_46946,192.168.1.66,Standard Transfer,394,0
2026-02-22 15:43:34,ACT_9160,UPI,IMEI_11934,192.168.1.179,Standard Transfer,3339,0
2026-02-22 15:48:34,ACT_8211,Web Banking,IMEI_34218,192.168.1.252,Standard Transfer,3854,0
2026-02-22 15:50:34,ACT_8451,Web Banking,IMEI_21533,192.168.1.179,Standard Transfer,358,0
2026-02-22 15:53:34,ACT_5550,Mobile App,IMEI_55931,192.168.1.186,Standard Transfer,4924,0
2026-02-22 15:54:34,ACT_1455,Mobile App,IMEI_72405,192.168.1.96,Standard Transfer,150,0
2026-02-22 15:59:34,ACT_6066,UPI,IMEI_46946,192.168.1.167,Standard Transfer,1180,0
2026-02-22 16:07:34,ACT_2694,ATM,IMEI_73242,192.168.1.43,Standard Transfer,2816,0
2026-02-22 16:13:34,ACT_1436,ATM,IMEI_10393,192.168.1.18,Standard Transfer,4241,0
2026-02-22 16:17:34,ACT_6699,UPI,IMEI_62945,192.168.1.50,Standard Transfer,4348,0
2026-02-22 16:30:34,ACT_9735,UPI,IMEI_17286,192.168.1.56,Standard Transfer,3050,0
2026-02-22 16:34:34,ACT_1038,UPI,IMEI_26143,192.168.1.85,Standard Transfer,576,0
2026-02-22 16:37:34,ACT_3661,ATM,IMEI_55628,192.168.1.141,Standard Transfer,4343,0
2026-02-22 16:47:34,ACT_2286,ATM,IMEI_24876,192.168.1.44,Standard Transfer,242,0
2026-02-22 16:56:34,ACT_2694,RTGS,IMEI_95310,192.168.1.223,Standard Transfer,1987,0
2026-02-22 16:58:34,ACT_5468,RTGS,IMEI_44998,192.168.1.193,Standard Transfer,561,0
2026-02-22 17:05:34,ACT_5502,RTGS,IMEI_42472,192.168.1.181,Standard Transfer,4241,0
2026-02-22 17:28:34,ACT_3829,Mobile App,IMEI_35450,192.168.1.56,Standard Transfer,360,0
2026-02-22 17:42:34,ACT_3909,ATM,IMEI_50221,192.168.1.109,Standard Transfer,3474,0
2026-02-22 17:43:34,ACT_3483,RTGS,IMEI_30144,192.168.1.72,Standard Transfer,3433,0
2026-02-22 17:46:34,ACT_5351,RTGS,IMEI_48525,192.168.1.225,Standard Transfer,2009,0
2026-02-22 18:00:34,ACT_8889,ATM,IMEI_58893,192.168.1.68,Standard Transfer,5000,0
2026-02-22 18:04:34,ACT_7933,ATM,IMEI_27325,192.168.1.74,Standard Transfer,3158,0
2026-02-22 18:07:34,ACT_2364,UPI,IMEI_20509,192.168.1.93,Standard Transfer,4309,0
2026-02-22 18:12:34,ACT_7831,RTGS,IMEI_47705,192.168.1.110,Standard Transfer,4433,0
2026-02-22 18:14:34,ACT_5921,ATM,IMEI_46296,192.168.1.30,Standard Transfer,4249,0
2026-02-22 18:18:34,ACT_3434,ATM,IMEI_14831,192.168.1.239,Standard Transfer,3931,0
2026-02-22 18:24:34,ACT_9064,UPI,IMEI_58893,192.168.1.138,Standard Transfer,2777,0
2026-02-22 18:26:34,ACT_3573,Web Banking,IMEI_36725,192.168.1.67,Standard Transfer,1648,0
2026-02-22 18:27:34,ACT_5361,ATM,IMEI_74477,192.168.1.189,Standard Transfer,4176,0
2026-02-22 18:29:34,ACT_3181,Mobile App,IMEI_61006,192.168.1.46,Standard Transfer,1627,0
2026-02-22 18:38:34,ACT_9234,ATM,IMEI_57378,192.168.1.106,Standard Transfer,4432,0
2026-02-22 18:45:34,ACT_2047,ATM,IMEI_40615,192.168.1.117,Standard Transfer,3923,0
2026-02-22 18:52:34,ACT_8547,UPI,IMEI_43189,192.168.1.199,Standard Transfer,490,0
2026-02-22 18:52:34,ACT_8051,ATM,IMEI_62802,192.168.1.23,Standard Transfer,2147,0
2026-02-22 18:52:34,ACT_9532,Web Banking,IMEI_35042,192.168.1.239,Standard Transfer,3528,0
2026-02-22 18:57:34,ACT_7766,Mobile App,IMEI_46159,192.168.1.158,Standard Transfer,4606,0
2026-02-22 18:59:34,ACT_3689,ATM,IMEI_30144,192.168.1.5,Standard Transfer,3505,0
2026-02-22 19:08:34,ACT_6671,ATM,IMEI_49598,192.168.1.167,Standard Transfer,1735,0
2026-02-22 19:30:34,ACT_9406,Mobile App,IMEI_42035,192.168.1.236,Standard Transfer,513,0
2026-02-22 19:34:34,ACT_2239,Web Banking,IMEI_91200,192.168.1.168,Standard Transfer,1001,0
2026-02-22 19:41:34,ACT_5475,ATM,IMEI_75455,192.168.1.246,Standard Transfer,2054,0
2026-02-22 19:42:34,ACT_9302,RTGS,IMEI_63788,192.168.1.202,Standard Transfer,2624,0
2026-02-22 19:45:34,ACT_3329,RTGS,IMEI_53792,192.168.1.64,Standard Transfer,1983,0
2026-02-22 19:46:34,ACT_2050,Mobile App,IMEI_94461,192.168.1.236,Standard Transfer,136,0
2026-02-22 19:52:34,ACT_9381,UPI,IMEI_37460,192.168.1.46,Standard Transfer,2210,0
2026-02-22 19:54:34,ACT_2362,Mobile App,IMEI_29567,192.168.1.190,Standard Transfer,3260,0
2026-02-22 20:01:34,ACT_8526,Mobile App,IMEI_32169,192.168.1.92,Standard Transfer,2392,0
2026-02-22 20:05:34,ACT_4348,ATM,IMEI_17286,192.168.1.93,Standard Transfer,4635,0
